name,age,birthcity,birthcountry,top_number,profession,grade,no_opinions,no_awards,no_nominations,known_for,best_roles,newest_productions
Eddie Redmayne ,40,Anglia,Wielka Brytania ,38,aktorzy,"8,7",56 075,6,26,"Teoria wszystkiego,Nędznicy,Jupiter: Intronizacja","Jack,Einar Wegener / Lili Elbe,Eddie Kreezer","Fantastyczne zwierzęta: Tajemnice Dumbledore'a,Proces Siódemki z Chicago,The Aeronauts"
Arkadiusz Jakubik ,53, Strzelce Opolskie,Polska ,97,aktorzy,"8,4",53 504,9,19,"Wołyń,Drogówka,Dom zły","Ksiądz Andrzej Kukuła,Edward Środoń,Notariusz Jan Janocha","Informacja zwrotna,Klangor,Wesele"
Daniel Radcliffe ,33,Anglia,Wielka Brytania ,228,aktorzy,"8,2",49 065,5,22,"Harry Potter i Insygnia Śmierci, cz.2,Harry Potter i Kamień Filozoficzny,Harry Potter i Insygnia Śmierci: Część I","Manny,Allen Ginsberg,Młody dr Vladimir Bomgard","Weird: The Al Yankovic Story,Zaginione miasto,Cudotwórcy: Szlak oregoński"
Daniel Craig ,54,Anglia,Wielka Brytania ,148,aktorzy,"8,3",48 868,3,20,"Skyfall,Nie czas umierać,Casino Royale","Benoit Blanc,Mikael Blomkvist,Rudy Mackenzie","Nie czas umierać,Purity,Na noże"
Martin Freeman ,51,Anglia,Wielka Brytania ,71,aktorzy,"8,4",49 055,4,12,"Sherlock,Hobbit: Tam i z powrotem,Czarna Pantera","Andy,Lester Nygaard,Mike Priddle","Czarna Pantera: Wakanda w moim sercu,Policjant,Rodzice"
Mark Wahlberg ,51,Massachusetts,USA ,29,producenci,"7,8",48 531,3,38,"Infiltracja,Ted,Ocalony","Sierżant sztabowy Sean Dignam,Bob Lee Swagger,David McCall","Uncharted,Father Stu,W nieskończoność"
Adam Driver ,39,Kalifornia,USA ,258,aktorzy,"8,1",49 032,12,38,"Historia małżeńska,Gwiezdne wojny: Przebudzenie Mocy,Paterson","Charlie Barber,Henry McHenry,Paterson","Enzo Ferrari,65,White Noise"
Mads Mikkelsen ,57, Kopenhaga,Dania ,37,aktorzy,"8,7",48 419,7,21,"Polowanie,Na rauszu,Hannibal","Lucas,Ivan,Martin","War Below Zero,Untitled Indiana Jones Project,Fantastyczne zwierzęta: Tajemnice Dumbledore'a"
Robert Pattinson ,36,Anglia,Wielka Brytania ,268,aktorzy,"8,1",48 313,23,22,"Saga ""Zmierzch"": Zaćmienie,Saga ""Zmierzch"": Księżyc w nowiu,Saga ""Zmierzch"": Przed świtem. Część 2","Connie Nikas,Wielebny Preston Teagardin,Thomas Howard","Batman,Diabeł wcielony,Tenet"
Robin Williams ,71,Illinois,USA ,27,aktorzy,"8,7",46 564,16,37,"Buntownik z wyboru,Pani Doubtfire,Stowarzyszenie Umarłych Poetów","John Keating,Sean Maguire,Daniel Hillard / Pani Euphegenia Doubtfire","Choleryk z Brooklynu,Wesołe kurcze święta,Noc w muzeum: Tajemnica grobowca"
Heath Ledger ,43, Perth,Australia ,13,aktorzy,"8,8",47 700,20,24,"Tajemnica Brokeback Mountain,I'm Not There. Gdzie indziej jestem,Obłędny rycerz","Patrick Verona,Dan,Ennis Del Mar","Parnassus,Mroczny Rycerz,I'm Not There. Gdzie indziej jestem"
